0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2.871829903,6.205436167,0.710008554,86.61548527,0.519456135,18.82725848,4.733128272,0.905003631,0.135257483,4.205913411,12.6706,0.5713521,20.72521996,-1.078554616,-17.65237224
3.009540344,3.992598775,0.801308566,111.4696507,0.685108676,11.63470457,4.142046115,0.942036762,0.112849381,3.468528159,18.7864,0.431502786,14.91893964,-1.069169312,-17.85822179
2.725614322,3.911835412,0.5720263,58.26326142,0.45629653,15.69968435,3.247554327,0.920926747,0.108887876,4.206988058,22.569,0.466812955,13.14108654,-1.112599741,-3.726317131
2.70189569,3.251772817,0.501425705,55.79006825,0.223619407,13.16361816,2.072606269,0.88828877,0.09609716,5.439414568,31.4424,0.306136975,8.686887003,-1.215429957,0.642288386
2.74225053,4.281404447,0.469778273,78.55166602,0.439150032,17.22662758,2.072454194,0.942878535,0.145853048,5.163674033,23.0276,0.642445374,12.55018236,-1.139260694,-24.57251215
2.723059543,2.753097251,0.56869409,52.46300291,0.470867869,11.28519988,2.446437383,0.85008514,0.072894929,4.339792997,28.7416,0.262261038,9.030815914,-1.098984791,7.313771714
3.073255309,5.153315268,0.666995917,61.60855978,0.519067175,22.62205197,3.631046202,0.91256501,0.166088951,3.746910445,12.4316,0.771922506,20.37696708,-1.157611217,-29.40750261
2.825606617,4.650452201,0.601550019,71.51892074,0.493761985,20.42167655,3.031697731,0.941627429,0.168144304,4.337486259,16.8644,0.704709574,15.6308951,-1.088555584,-26.33296475
2.722641063,3.525617825,0.517981237,64.54927329,0.680373963,16.37394643,2.832298767,0.934138408,0.135827024,4.409785639,18.831,0.616163903,13.54629413,-1.13358052,-18.49821159
2.796260615,4.440437852,0.571317783,74.50828368,0.639290201,15.69908218,1.871138832,0.944821282,0.15577995,4.75177305,16.3249,0.624708303,13.35359023,-1.134576197,-17.28245478
2.749124533,4.624064422,0.551728804,89.90439125,0.495672633,17.6858766,2.143504169,0.94165146,0.149539724,4.926873199,17.6463,0.55927157,14.6903383,-1.105924687,-16.37095267
2.831069443,4.956851691,0.617731787,88.93356374,0.609371216,19.86218767,3.146633996,0.946649556,0.173980308,4.190078918,13.4047,0.706558498,17.96132818,-1.070833915,-31.59621711
3.08454926,5.314397839,0.739936486,55.3036987,0.520530344,20.59413171,2.896094993,0.910971986,0.147297635,3.409593545,16.8721,0.661718705,19.38841292,-1.051408344,-7.702416519
2.721984035,2.881510931,0.491565078,53.09873462,0.414222893,13.63339311,1.963139497,0.901847051,0.09989097,5.689307509,27.5213,0.353305874,9.712644862,-1.12980852,-2.784428039
2.788323605,3.678331665,0.754177898,47.77301228,0.483090068,9.925975894,3.140924126,0.85151598,0.060867864,3.632687879,27.299,0.270709273,11.1374179,-1.084278937,10.26155967
2.86055634,4.317674617,0.626673106,61.40825681,0.551663853,21.95021188,2.970853444,0.925920418,0.151823789,3.898502097,13.0001,0.714633155,16.43653444,-1.070552692,-21.53961087
